"source","mosquito_number","R","L"
"Moo_5_Pre",1,128.47501880787,128.420899402006
"Moo_5_Pre",2,128.453044463735,128.366037326389
"Moo_5_Pre",3,128.48283757716,128.466007426698
"Moo_5_Pre",4,128.647044270833,128.543804976852
"Moo_5_Pre",5,128.497360628858,128.476759259259
"Moo_5_Pre",6,128.633073881173,128.533153935185
"Moo_5_Pre",7,128.423605806327,128.455383873457
"Moo_5_Pre",8,128.575690104167,128.585890721451
"Moo_5_Pre",9,128.679150752315,128.541820505401
"Moo_5_Pre",10,128.568005883488,128.642521701389
"Moo_5_Pre",11,128.538290412809,128.498661265432
"Moo_5_Pre",12,128.85720003858,128.600535300926
"Moo_5_Pre",13,128.475575810185,128.469338348765
"Moo_5_Pre",14,128.64767023534,128.515827064043
"Moo_5_Pre",15,128.371254340278,128.392509162809
"Moo_5_Pre",16,128.243928915895,128.310301408179
"Moo_5_Pre",17,128.728519483025,128.599371141975
"Moo_5_Pre",18,128.559421778549,128.658067611883
"Moo_5_Pre",19,128.41147810571,128.492144097222
"Moo_5_Pre",20,128.569449266975,128.538493923611
"Nstate_16_6_pre",1,128.621453028549,128.524070216049
"Nstate_16_6_pre",2,128.534226466049,128.561899112654
"Nstate_16_6_pre",3,128.515965470679,NA
"Nstate_16_6_pre",4,128.726902970679,128.480303337191
"Nstate_16_6_pre",5,128.455017843364,128.575008680556
"Nstate_16_6_pre",6,128.267647087191,128.392739197531
"Nstate_16_6_pre",7,128.44536410108,128.377530381944
"Nstate_16_6_pre",8,128.508446662809,128.543737943673
"Nstate_16_6_pre",9,128.52521412037,128.502030767747
"Nstate_16_6_pre",10,128.576281346451,128.339208140432
"Nstate_16_6_pre",11,128.467202932099,128.433110050154
"Nstate_16_6_pre",12,128.376450135031,128.4241016
"Nstate_16_6_pre",13,128.319825424383,128.475932677469
"Nstate_16_6_pre",14,128.427686149691,128.511096643519
"Nstate_16_6_pre",15,128.510227623457,128.522828896605
"Nstate_16_6_pre",16,128.440337094907,128.547408371914
"Nstate_16_6_pre",17,128.486569251543,128.483531539352
"Nstate_16_6_pre",18,128.467558834877,128.381194058642
"Nstate_16_6_pre",19,128.493162615741,128.459489776235
"Nstate_16_6_pre",20,128.464803722994,128.474480131173
