"source","trap_id","mosquito_number","R","L"
"2023_NoCo","Ault",1,128.554042727623,128.45349054784
"2023_NoCo","Ault",2,128.488488136574,128.557122395833
"2023_NoCo","Ault",3,128.583739390432,128.42977189429
"2023_NoCo","Ault",4,128.521195505401,128.685079089506
"2023_NoCo","Ault",5,128.78760320216,128.662320601852
"2023_NoCo","Ault",6,128.768217110339,128.455734953704
"2023_NoCo","Ault",7,128.745740740741,128.723800154321
"2023_NoCo","Ault",8,128.680591242284,128.723665123457
"2023_NoCo","Ault",9,128.570362654321,128.485984278549
"2023_NoCo","Ault",10,128.65869695216,128.734249614198
"2023_NoCo","Ault",11,128.615692997685,128.736687885802
"2023_NoCo","Ault",12,128.676090374228,128.723693094136
"2023_NoCo","Eaton",1,128.604639274691,128.634439621914
"2023_NoCo","Eaton",2,128.849540895062,128.974419367284
"2023_NoCo","Eaton",3,128.586674864969,128.540750868056
"2023_NoCo","Fort_Collins",1,128.611538387346,128.54471257716
"2023_NoCo","Fort_Collins",2,128.479095775463,128.553551793981
"2023_NoCo","Fort_Collins",3,128.515092592593,128.620914351852
"2023_NoCo","Fort_Collins",4,128.488115837191,128.514118441358
"2023_NoCo","Fort_Collins",5,129.058569155093,128.662301311728
"2023_NoCo","Fort_Collins",6,128.830036651235,128.806388406636
"2023_NoCo","Fort_Collins",7,128.605050636574,128.932716531636
"2023_NoCo","Fort_Collins",8,128.559721739969,128.628483796296
"2023_NoCo","Fort_Collins",9,128.809340760031,128.718516589506
"2023_NoCo","Fort_Collins",10,128.537765239198,128.81588589892
"2023_NoCo","Fort_Collins",11,128.622625385802,128.500416666667
"2023_NoCo","Fort_Collins",12,128.565546392747,128.512349054784
"2023_NoCo","Fort_Collins",13,128.66609375,128.618174189815
"2023_NoCo","Fort_Collins",14,128.695455729167,128.642085744599
"2023_NoCo","Fort_Collins",15,128.699275173611,128.573578800154
"2023_NoCo","Fort_Collins",16,128.477856385031,128.542540509259
"2023_NoCo","Fort_Collins",17,128.47467496142,128.561853780864
"2023_NoCo","Fort_Collins",18,128.53479070216,128.503492959105
"2023_NoCo","Fort_Collins",19,128.350107542438,128.365658275463
"2023_NoCo","Fort_Collins",20,128.756162712191,128.689746334877
"2023_NoCo","Fort_Collins",21,128.807488425926,128.760158661265
"2023_NoCo","Fort_Collins",22,128.555537712191,128.714326292438
"2023_NoCo","Fort_Collins",23,128.706084104938,128.548155381944
"2023_NoCo","Fort_Collins",24,128.616761670525,128.645818865741
"2023_NoCo","Fort_Collins",25,128.57810474537,128.678323688272
"2023_NoCo","Fort_Collins",26,128.827223186728,128.513485243056
"2023_NoCo","Fort_Collins",27,128.388219039352,128.480729166667
"2023_NoCo","Fort_Collins",28,128.320191454475,128.540042920525
"2023_NoCo","Fort_Collins",29,128.579243344907,128.496492573302
"2023_NoCo","Fort_Collins",30,128.633013117284,128.622391010802
"2023_NoCo","Fort_Collins",31,128.713098958333,128.625600887346
"2023_NoCo","Fort_Collins",32,128.808546971451,128.712602719907
"2023_NoCo","Fort_Collins",33,128.591264467593,128.546298225309
"2023_NoCo","Fort_Collins",34,128.512027874228,128.607613811728
"2023_NoCo","Fort_Collins",35,128.671240354938,128.658082079475
"2023_NoCo","Fort_Collins",36,128.728360821759,128.73630931713
"2023_NoCo","Fort_Collins",37,128.515608121142,128.444039834105
"2023_NoCo","Fort_Collins",38,128.623322723765,128.450633198302
"2023_NoCo","Fort_Collins",39,128.57431568287,128.606127989969
"2023_NoCo","Fort_Collins",40,128.619242862654,128.617317708333
"2023_NoCo","Fort_Collins",41,128.693326099537,128.731202739198
"2023_NoCo","Fort_Collins",42,128.738545042438,128.803919753086
"2023_NoCo","Fort_Collins",43,128.526133294753,128.572203414352
"2023_NoCo","Fort_Collins",44,128.671205150463,128.729538001543
"2023_NoCo","Fort_Collins",45,128.643164544753,128.622320601852
